date,gross_return,net_return,cost,turnover,long_return,short_return,gross_exposure,net_exposure,long_names,short_names,benchmark_return
2010-09-09,-0.009532252455,-0.009532252455,0,0,0.0005225519203,-0.01005480438,1.034550681,-0.004820920619,7,7,0.004618718277
2010-09-10,0.0004695007636,0.0004695007636,0,0,0.0007465360897,-0.000277035326,1.05518634,-0.01449130788,7,7,0.005048946526
2010-09-13,-0.001021438506,-0.001021438506,0,0,0.006820432102,-0.007841870608,1.055714253,-0.01401522696,7,7,0.01112270607
2010-09-14,-0.006067605833,-0.006067605833,0,0,-0.003405664148,-0.002661941685,1.071470998,-0.01505204019,7,7,-0.0006205345425
2010-09-15,-0.006008623764,-0.006008623764,0,0,-0.002171022714,-0.00383760105,1.077263687,-0.021248574,7,7,0.003816907531
2010-09-16,0.002667155436,0.002667155436,0,0,0.0004520449318,0.002215110504,1.08545234,-0.02742196604,7,7,-0.0002653270741
2010-09-17,0.0004510430414,0.0004510430414,0,0,0.001242801461,-0.0007917584192,1.080806595,-0.02468896131,7,7,0.000373492518
2010-09-20,0.002595304707,0.002595304707,0,0,0.0155421657,-0.01294686099,1.082352967,-0.02422699085,7,7,0.01529027328
2010-09-21,-0.0009770195064,-0.0009770195064,0,0,0.001576944863,-0.00255396437,1.107966483,-0.02157569065,7,7,-0.002013471622
2010-09-22,0.01986403733,0.01986403733,0,0,0.00420035815,0.01566367918,1.113184996,-0.02257476614,7,7,-0.004913494345
2010-09-23,0.002651019345,0.002651019345,0,0,-0.001299458385,0.00395047773,1.080263284,-0.002657931566,7,7,-0.008111316779
2010-09-24,-0.004671032453,-0.004671032453,0,0,0.01075089582,-0.01542192827,1.072171002,-6.893945961e-06,7,7,0.02062182164
2010-09-27,0.006119661852,0.006119661852,0,0,0.0001604691079,0.005959192744,1.103498303,-0.00469987969,7,7,-0.004790122919
2010-09-28,-0.001916827962,-0.001916827962,0,0,-0.002161779805,0.0002449518438,1.091022888,0.001411146423,7,7,0.003500734105
2010-09-29,0.004924256344,0.004924256344,0,0,0.003124994596,0.001799261748,1.090706854,-0.0005066527047,7,7,-0.00174408507
2010-09-30,-0.007848660642,-0.007848660642,0,0,-0.009916781768,0.002068121126,1.086681488,0.004395956821,7,7,-0.002970115965
2010-10-01,-0.004661483791,-0.005332736647,0.0006712528563,0.6712528563,-0.00453743959,-0.0001240442005,1.083198241,-0.003480017295,7,7,0.004205679115
2010-10-04,0.0020748863,0.0020748863,0,0,-0.002007244516,0.004082130816,1,0,7,7,-0.007503851782
2010-10-05,0.001174629884,0.001174629884,0,0,0.008672788719,-0.007498158836,0.9918526432,0.002070590061,7,7,0.02013196668
2010-10-06,-0.004963547621,-0.004963547621,0,0,-0.008393271823,0.003429724203,1.006840925,0.003241412485,7,7,-8.616166377e-05
2010-10-07,-0.00607785797,-0.00607785797,0,0,-0.0001157803719,-0.005962077598,0.9999813845,-0.001730725675,7,7,-0.001206454099
